participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.word_channel,player.distanceScale_after,player.overlapScale_after,player.payoff,group.id_in_subsession,subsession.round_number,subsession.n_words,subsession.n_duplicates,subsession.n_players,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
9,w28iveja,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-13 17:26:32.397377+00:00,0,1,,,0,9,word-3-anagrams-6,,,0,1,1,0,0,3,wiii46il,,,3E6L1VR4XWU6DS6O9UCEEA6E99AF62,3WRXIMH6E1FF3XBIUNW7N8C8XFIL4L,,0
10,hlv31vx9,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-13 17:26:32.413969+00:00,0,1,,,0,10,word-3-anagrams-6,,,0,1,1,0,0,3,wiii46il,,,3E6L1VR4XWU6DS6O9UCEEA6E99AF62,3WRXIMH6E1FF3XBIUNW7N8C8XFIL4L,,0
1,b5tametb,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-14 17:05:49.180276+00:00,0,1,,,0,1,word-4-anagrams-8,125,100,0,1,1,0,0,3,z2k3fzsj,,,,,,0
2,vblustgp,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-14 17:05:02.766847+00:00,0,1,,,0,2,word-4-anagrams-8,9999,9999,0,1,1,0,0,3,z2k3fzsj,,,,,,0
3,dzyflhf8,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-14 17:05:03.894324+00:00,0,1,,,0,3,word-4-anagrams-8,9999,9999,0,1,1,0,0,3,z2k3fzsj,,,,,,0
1,ywvy32sd,,0,0,32,,,,,,0,0,,,0,1,word-5-anagrams-10,,,0,1,1,,,,ovhybbdp,,,,,,1
2,4l39v9qo,,0,0,32,,,,,,0,0,,,0,2,word-5-anagrams-10,,,0,1,1,,,,ovhybbdp,,,,,,1
3,4mbjihf2,,0,0,32,,,,,,0,0,,,0,3,word-5-anagrams-10,,,0,1,1,,,,ovhybbdp,,,,,,1
1,c28394f5,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-18 19:10:49.514455+00:00,0,1,AQ5RV9HW7U6ID,3ON104KXQL4XVBMZ6YY1AK4K9BNW4K,202,1,word-6-anagrams-12,9999,9999,14,1,1,11,3,4,vhmb74qv,,,301KG0KX9CT29NETHIOBRI1F9OAH2K,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
2,wew8y6d5,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-18 19:10:50.501243+00:00,0,1,AADRVG2QVZH75,3PMBY0YE28BPEJM662URFY8X3NK9CL,0,2,word-6-anagrams-12,,,0,1,1,11,3,4,vhmb74qv,,,301KG0KX9CT29NETHIOBRI1F9OAH2K,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
3,j90n3wk9,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-18 19:10:50.714087+00:00,0,1,A39Q4SNT7SRK94,3H0W84IWBLAAFH26WA08W78UUL2REI,261,3,word-6-anagrams-12,125,100,14,1,1,11,3,4,vhmb74qv,,,301KG0KX9CT29NETHIOBRI1F9OAH2K,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
4,wvc2awm0,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-18 19:11:00.846301+00:00,0,1,A3J0IAI8AJBGKX,3L6L49WXW153IS7FAXBSKKR7PEK45C,152,4,word-6-anagrams-12,125,100,14,1,1,11,3,4,vhmb74qv,,,301KG0KX9CT29NETHIOBRI1F9OAH2K,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
5,6n7bpiu9,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-18 19:11:04.218370+00:00,0,1,A7KLTVEIASF4J,35L9RVQFCPQEFJLPQ53JMLSRT0YUH5,209,5,word-6-anagrams-12,9,3,14,1,1,11,3,4,vhmb74qv,,,301KG0KX9CT29NETHIOBRI1F9OAH2K,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
6,ue95nr3s,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-18 19:15:02.557114+00:00,0,1,,,0,6,word-6-anagrams-12,,,0,1,1,11,3,4,vhmb74qv,,,301KG0KX9CT29NETHIOBRI1F9OAH2K,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
7,57otk8n2,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-18 19:15:02.576907+00:00,0,1,,,0,7,word-6-anagrams-12,,,0,1,1,11,3,4,vhmb74qv,,,301KG0KX9CT29NETHIOBRI1F9OAH2K,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
8,efs6kpyg,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-18 19:15:02.594012+00:00,0,1,,,0,8,word-6-anagrams-12,,,0,1,1,11,3,4,vhmb74qv,,,301KG0KX9CT29NETHIOBRI1F9OAH2K,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
9,f8iqyh17,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-18 19:15:02.610221+00:00,0,1,,,0,9,word-6-anagrams-12,,,0,1,1,11,3,4,vhmb74qv,,,301KG0KX9CT29NETHIOBRI1F9OAH2K,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
10,mmp3a2oi,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-18 19:15:02.627350+00:00,0,1,,,0,10,word-6-anagrams-12,,,0,1,1,11,3,4,vhmb74qv,,,301KG0KX9CT29NETHIOBRI1F9OAH2K,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
1,rqyhp29i,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-21 19:42:56.642983+00:00,0,1,A3EJ44J2ZNRMDA,3R5F3LQFV3S5TZ1M05XHNM477HUZOG,285,1,word-7-anagrams-14,-99,0,12,1,1,38,7,8,5ydhsfg6,,,3S1WOPCJFG1QV9LZY2MX5WQJJN2EJU,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
2,pa7k4f93,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-21 19:42:58.379336+00:00,0,1,A273DS7TQWR9M1,3S06PH7KSSCHU6PP2LA9KY8WQOB1DX,0,2,word-7-anagrams-14,,,0,1,1,38,7,8,5ydhsfg6,,,3S1WOPCJFG1QV9LZY2MX5WQJJN2EJU,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
3,ifskzaiy,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-21 19:43:00.730457+00:00,0,1,AQ5RV9HW7U6ID,34V1S5K3GT90Y2D5WBHOTYGN7EC96M,0,3,word-7-anagrams-14,,,0,1,1,38,7,8,5ydhsfg6,,,3S1WOPCJFG1QV9LZY2MX5WQJJN2EJU,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
4,f0hsq81m,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-21 19:43:02.373601+00:00,0,1,A2ODH6HV36EP88,386CSBG1O0U6Q1URDDSAFT6CHEG6Q5,40,4,word-7-anagrams-14,0,0,12,1,1,38,7,8,5ydhsfg6,,,3S1WOPCJFG1QV9LZY2MX5WQJJN2EJU,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
5,skya5ojd,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-21 19:43:03.366411+00:00,0,1,A26FM08JXUPEZO,3PJUZCGDJ7ON2GWTPQEMDCCED92988,42,5,word-7-anagrams-14,0,0,12,1,1,38,7,8,5ydhsfg6,,,3S1WOPCJFG1QV9LZY2MX5WQJJN2EJU,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
6,p4f3glnm,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-21 19:43:06.529841+00:00,0,1,A1YILFU07P6DND,3PPTZCWALRS8EBE2FIPLCRZ7MICZQO,193,6,word-7-anagrams-14,61,56,12,1,1,38,7,8,5ydhsfg6,,,3S1WOPCJFG1QV9LZY2MX5WQJJN2EJU,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
7,ku7sgxda,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-21 19:43:06.541960+00:00,0,1,A2HG1N3BVQO6I,3A1COHJ8NK3GHMECN22EQTA2WMAH86,206,7,word-7-anagrams-14,124,100,12,1,1,38,7,8,5ydhsfg6,,,3S1WOPCJFG1QV9LZY2MX5WQJJN2EJU,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
8,9d6txfsy,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-21 19:43:07.795057+00:00,0,1,AW0MG225VXWCN,3NOKK93PR2GL6DX1A4G8X09BF9GEEM,219,8,word-7-anagrams-14,125,100,12,1,1,38,7,8,5ydhsfg6,,,3S1WOPCJFG1QV9LZY2MX5WQJJN2EJU,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
9,bk4ieibh,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-21 19:43:10.341760+00:00,0,1,A2622OUSQNVDEK,3NXNZ5RS1B5J22RAFLMGZCGJ2PW97L,185,9,word-7-anagrams-14,67,64,12,1,1,38,7,8,5ydhsfg6,,,3S1WOPCJFG1QV9LZY2MX5WQJJN2EJU,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
10,d8t8c8gp,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-21 19:44:37.475955+00:00,0,1,A17K3BXV023HXO,3300DTYQT3PA3GN6JVB8RHYPYC4EQY,0,10,word-7-anagrams-14,,,0,1,1,38,7,8,5ydhsfg6,,,3S1WOPCJFG1QV9LZY2MX5WQJJN2EJU,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
11,fxgey8o1,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-21 19:45:36.424268+00:00,0,1,A17MUS17DFQZ4P,3A7Y0R2P2PW2NTAAJAHRI57A0NNJXL,260,11,word-7-anagrams-14,-100,0,12,1,1,38,7,8,5ydhsfg6,,,3S1WOPCJFG1QV9LZY2MX5WQJJN2EJU,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
12,7liogqhr,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-21 19:46:29.773732+00:00,0,1,,,0,12,word-7-anagrams-14,,,0,1,1,38,7,8,5ydhsfg6,,,3S1WOPCJFG1QV9LZY2MX5WQJJN2EJU,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
13,bfq1yuvb,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-21 19:46:29.791836+00:00,0,1,,,0,13,word-7-anagrams-14,,,0,1,1,38,7,8,5ydhsfg6,,,3S1WOPCJFG1QV9LZY2MX5WQJJN2EJU,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
14,wgz1bsk5,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-21 19:46:29.807342+00:00,0,1,,,0,14,word-7-anagrams-14,,,0,1,1,38,7,8,5ydhsfg6,,,3S1WOPCJFG1QV9LZY2MX5WQJJN2EJU,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
15,pnbq14y0,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-21 19:46:29.824620+00:00,0,1,,,0,15,word-7-anagrams-14,,,0,1,1,38,7,8,5ydhsfg6,,,3S1WOPCJFG1QV9LZY2MX5WQJJN2EJU,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
16,dno1o4zu,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-21 19:46:29.840102+00:00,0,1,,,0,16,word-7-anagrams-14,,,0,1,1,38,7,8,5ydhsfg6,,,3S1WOPCJFG1QV9LZY2MX5WQJJN2EJU,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
17,wnhthjuq,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-21 19:46:29.855624+00:00,0,1,,,0,17,word-7-anagrams-14,,,0,1,1,38,7,8,5ydhsfg6,,,3S1WOPCJFG1QV9LZY2MX5WQJJN2EJU,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
18,veenrge9,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-21 19:46:29.871129+00:00,0,1,,,0,18,word-7-anagrams-14,,,0,1,1,38,7,8,5ydhsfg6,,,3S1WOPCJFG1QV9LZY2MX5WQJJN2EJU,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
19,m97bh2zq,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-21 19:46:29.886396+00:00,0,1,,,0,19,word-7-anagrams-14,,,0,1,1,38,7,8,5ydhsfg6,,,3S1WOPCJFG1QV9LZY2MX5WQJJN2EJU,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
20,cn7r440z,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-21 19:46:29.902101+00:00,0,1,,,0,20,word-7-anagrams-14,,,0,1,1,38,7,8,5ydhsfg6,,,3S1WOPCJFG1QV9LZY2MX5WQJJN2EJU,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,,0
1,g8tonyl5,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-26 15:41:33.789478+00:00,0,1,A3HNEYFOIJWPH1,3PMBY0YE28BPEJM662URFY8X4ISC9N,79,1,word-8-anagrams-16,-100,0,11,1,1,39,6,8,gbwspag3,,,301KG0KX9CT29NETHIOBRI1F9W22HD,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,experiment failed; need to find error,0
2,wrx1fizh,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-26 15:41:37.494170+00:00,0,1,A3NHMKVK98NY7I,3SITXWYCNWHW5ACYVI4AKHOXT0IXBJ,67,2,word-8-anagrams-16,119,100,11,1,1,39,6,8,gbwspag3,,,301KG0KX9CT29NETHIOBRI1F9W22HD,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,experiment failed; need to find error,0
3,pxvjdff7,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-26 15:41:41.102516+00:00,0,1,A3HJNOCKXFOOVP,3ITXP059PXRURCOBP0B4JXQIMQQJSJ,92,3,word-8-anagrams-16,-71,0,11,1,1,39,6,8,gbwspag3,,,301KG0KX9CT29NETHIOBRI1F9W22HD,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,experiment failed; need to find error,0
4,9kbfxoqe,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-26 15:41:43.885466+00:00,0,1,AO8LXT6Z1D9MU,3TESA3PJ32IHUPHR80SANGJTYV3MME,54,4,word-8-anagrams-16,9999,9999,11,1,1,39,6,8,gbwspag3,,,301KG0KX9CT29NETHIOBRI1F9W22HD,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,experiment failed; need to find error,0
5,trb9jlu8,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-26 15:41:46.877892+00:00,0,1,A1PDBRYBFMMFNY,31T4R4OBOTOL00YDR5W712HR9S47C6,46,5,word-8-anagrams-16,123,100,11,1,1,39,6,8,gbwspag3,,,301KG0KX9CT29NETHIOBRI1F9W22HD,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,experiment failed; need to find error,0
6,kniyfuea,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-26 15:41:53.841313+00:00,0,1,A1GQS6USF2JEYG,33JKGHPFYD2NC72RK17A0V8T3LDMNE,81,6,word-8-anagrams-16,5,1,11,1,1,39,6,8,gbwspag3,,,301KG0KX9CT29NETHIOBRI1F9W22HD,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,experiment failed; need to find error,0
7,56h0qqeu,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-26 15:41:54.017048+00:00,0,1,AHEJHFN0VV6E3,38F5OAUN5OKCH89TDXA8CTE7MK9H7P,21,7,word-8-anagrams-16,,,0,1,1,39,6,8,gbwspag3,,,301KG0KX9CT29NETHIOBRI1F9W22HD,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,experiment failed; need to find error,0
8,6p6butrq,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-26 15:41:55.935862+00:00,0,1,A28AX4H70DPKKK,31UV0MXWNRKXQZ6UVMDWEL1QVRT5IR,53,8,word-8-anagrams-16,-100,0,11,1,1,39,6,8,gbwspag3,,,301KG0KX9CT29NETHIOBRI1F9W22HD,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,experiment failed; need to find error,0
9,ijio04iq,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-26 15:41:58.408092+00:00,0,1,A28FW73RBVGYZ9,3PXX5PX6LY6K9X45K8CW09DZSFAABT,0,9,word-8-anagrams-16,,,0,1,1,39,6,8,gbwspag3,,,301KG0KX9CT29NETHIOBRI1F9W22HD,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,experiment failed; need to find error,0
10,j19y2rbh,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-26 15:42:35.097114+00:00,0,1,A5YVMQWA2IYPF,35USIKEBNSOLN4HZXL0TBZB7DLYN65,80,10,word-8-anagrams-16,-100,0,11,1,1,39,6,8,gbwspag3,,,301KG0KX9CT29NETHIOBRI1F9W22HD,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,experiment failed; need to find error,0
11,eq97451g,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-26 15:45:40.041210+00:00,0,1,,,0,11,word-8-anagrams-16,,,0,1,1,39,6,8,gbwspag3,,,301KG0KX9CT29NETHIOBRI1F9W22HD,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,experiment failed; need to find error,0
12,eghpl7h1,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-26 15:45:40.062022+00:00,0,1,,,0,12,word-8-anagrams-16,,,0,1,1,39,6,8,gbwspag3,,,301KG0KX9CT29NETHIOBRI1F9W22HD,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,experiment failed; need to find error,0
13,bs18kjig,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-26 15:45:40.081639+00:00,0,1,,,0,13,word-8-anagrams-16,,,0,1,1,39,6,8,gbwspag3,,,301KG0KX9CT29NETHIOBRI1F9W22HD,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,experiment failed; need to find error,0
14,qluq4hqw,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-26 15:45:40.098684+00:00,0,1,,,0,14,word-8-anagrams-16,,,0,1,1,39,6,8,gbwspag3,,,301KG0KX9CT29NETHIOBRI1F9W22HD,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,experiment failed; need to find error,0
15,rfta25kx,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-26 15:45:40.115736+00:00,0,1,,,0,15,word-8-anagrams-16,,,0,1,1,39,6,8,gbwspag3,,,301KG0KX9CT29NETHIOBRI1F9W22HD,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,experiment failed; need to find error,0
16,4nowrnjp,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-26 15:45:40.132591+00:00,0,1,,,0,16,word-8-anagrams-16,,,0,1,1,39,6,8,gbwspag3,,,301KG0KX9CT29NETHIOBRI1F9W22HD,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,experiment failed; need to find error,0
17,9joak3tz,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-26 15:45:40.149811+00:00,0,1,,,0,17,word-8-anagrams-16,,,0,1,1,39,6,8,gbwspag3,,,301KG0KX9CT29NETHIOBRI1F9W22HD,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,experiment failed; need to find error,0
18,39r56fyf,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-26 15:45:40.165727+00:00,0,1,,,0,18,word-8-anagrams-16,,,0,1,1,39,6,8,gbwspag3,,,301KG0KX9CT29NETHIOBRI1F9W22HD,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,experiment failed; need to find error,0
19,mhv31zkj,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-26 15:45:40.181774+00:00,0,1,,,0,19,word-8-anagrams-16,,,0,1,1,39,6,8,gbwspag3,,,301KG0KX9CT29NETHIOBRI1F9W22HD,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,experiment failed; need to find error,0
20,gjqrn6oy,,0,33,32,conclusion,1,Results,127.0.0.1,2017-07-26 15:45:40.197947+00:00,0,1,,,0,20,word-8-anagrams-16,,,0,1,1,39,6,8,gbwspag3,,,301KG0KX9CT29NETHIOBRI1F9W22HD,3QVO2PZ6OQGAFTC417EQC8H8HDNQBM,experiment failed; need to find error,0
1,3dyajywa,,0,0,32,,,,,,0,0,,,0,1,word-9-anagrams-18,,,0,1,1,,,,973hz778,,,,,,1
2,0frwrg1y,,0,0,32,,,,,,0,0,,,0,2,word-9-anagrams-18,,,0,1,1,,,,973hz778,,,,,,1
3,4qwbduk6,,0,0,32,,,,,,0,0,,,0,3,word-9-anagrams-18,,,0,1,1,,,,973hz778,,,,,,1
1,m59q6w4p,,0,0,32,,,,,,0,0,,,0,1,word-10-anagrams-20,,,0,1,1,,,,wgowd92m,,,,,,1
2,7bqy648d,,0,0,32,,,,,,0,0,,,0,2,word-10-anagrams-20,,,0,1,1,,,,wgowd92m,,,,,,1
3,iilg3rfw,,0,0,32,,,,,,0,0,,,0,3,word-10-anagrams-20,,,0,1,1,,,,wgowd92m,,,,,,1
1,3nxb2ujd,,0,0,32,,,,,,0,0,,,0,1,word-11-anagrams-22,,,0,1,1,,,,g6jvaqxh,,,,,,1
2,sk5g6o95,,0,0,32,,,,,,0,0,,,0,2,word-11-anagrams-22,,,0,1,1,,,,g6jvaqxh,,,,,,1
3,7angesy9,,0,0,32,,,,,,0,0,,,0,3,word-11-anagrams-22,,,0,1,1,,,,g6jvaqxh,,,,,,1
1,efocqr91,,0,0,32,,,,,,0,0,,,0,1,word-12-anagrams-24,,,0,1,1,,,,rbr0meg2,,,,,,1
2,g36a75pc,,0,0,32,,,,,,0,0,,,0,2,word-12-anagrams-24,,,0,1,1,,,,rbr0meg2,,,,,,1
3,lj63o3q1,,0,0,32,,,,,,0,0,,,0,3,word-12-anagrams-24,,,0,1,1,,,,rbr0meg2,,,,,,1
1,zp3olsye,,0,0,32,,,,,,0,0,,,0,1,word-13-anagrams-26,,,0,1,1,,,,xss0puzp,,,,,,1
2,btllql1i,,0,0,32,,,,,,0,0,,,0,2,word-13-anagrams-26,,,0,1,1,,,,xss0puzp,,,,,,1
3,1fbr56pe,,0,0,32,,,,,,0,0,,,0,3,word-13-anagrams-26,,,0,1,1,,,,xss0puzp,,,,,,1
1,2f9q7x26,,0,0,32,,,,,,0,0,,,0,1,word-14-anagrams-28,,,0,1,1,,,,qag2y8e5,,,,,,1
2,8jm5lv4q,,0,0,32,,,,,,0,0,,,0,2,word-14-anagrams-28,,,0,1,1,,,,qag2y8e5,,,,,,1
3,qllqj7d3,,0,0,32,,,,,,0,0,,,0,3,word-14-anagrams-28,,,0,1,1,,,,qag2y8e5,,,,,,1
1,qg05voyc,,0,0,32,,,,,,0,0,,,0,1,word-15-anagrams-30,,,0,1,1,,,,gv2d6pb3,,,,,,1
2,5sfds5lj,,0,0,32,,,,,,0,0,,,0,2,word-15-anagrams-30,,,0,1,1,,,,gv2d6pb3,,,,,,1
